#3 total breaks in 3 contigs
#orig_contig	fragment	break_start	break_end	fragment_len
ctg00000007.1	ctg00000007.1:::fragment_1	0	9525159	9525159
ctg00000007.1	ctg00000007.1:::fragment_2:::debris	9525159	10025158	499999
ctg00000007.1	ctg00000007.1:::fragment_3	10025158	13023036	2997878
ctg00000014.1	ctg00000014.1:::fragment_1	0	4041731	4041731
ctg00000014.1	ctg00000014.1:::fragment_2:::debris	4041731	4541730	499999
ctg00000014.1	ctg00000014.1:::fragment_3	4541730	7622066	3080336
ctg00000018.1	ctg00000018.1:::fragment_1	0	8089936	8089936
ctg00000018.1	ctg00000018.1:::fragment_2:::debris	8089936	8214935	124999
ctg00000018.1	ctg00000018.1:::fragment_3	8214935	8650816	435881
