query	grouping_confidence	location_confidence	orientation_confidence
Chromosome1	0.6331860038243396	1.0	1.0
Chromosome2	0.6406098387598902	1.0	1.0
ctg00000006.1	1.0	1.0	1.0
ctg00000007.1___fragment_1	1.0	1.0	1.0
Chromosome5	0.7186661371977313	1.0	1.0
Chromosome6	0.9500545616969516	1.0	1.0
ctg00000011.1	1.0	1.0	1.0
Chromosome8	0.5298025735213352	1.0	1.0
Chromosome9	0.807730595588049	1.0	1.0
Chromosome10	0.8173932683409543	1.0	1.0
Chromosome11	0.7057166247388393	1.0	1.0
ctg00000019.1	1.0	1.0	1.0
Chromosome14	0.9506456171942381	1.0	1.0
ctg00000022.1	1.0	1.0	1.0
ctg00000023.1	1.0	1.0	1.0
Chromosome12	0.5539162889535535	1.0	1.0
Chromosome17	0.748291435788175	1.0	1.0
ctg00000027.1	1.0	1.0	1.0
ctg00000028.1	1.0	1.0	1.0
ctg00000029.1	1.0	1.0	1.0
ctg00000034.1	1.0	1.0	1.0
ctg00000035.1	1.0	1.0	1.0
ctg00000037.1	1.0	1.0	1.0
ctg00000038.1	1.0	1.0	1.0
ctg00000039.1	1.0	1.0	1.0
ctg00000040.1	1.0	1.0	1.0
ctg00000041.1	1.0	1.0	1.0
ctg00000042.1	1.0	1.0	1.0
ctg00000043.1	1.0	1.0	1.0
ctg00000044.1	1.0	1.0	1.0
ctg00000046.1	1.0	1.0	1.0
