query	grouping_confidence	location_confidence	orientation_confidence
ctg00000001.1	1.0	1.0	1.0
Chromosome2	0.9296532049335418	1.0	1.0
Chromosome3	0.8754995396319772	1.0	1.0
Chromosome4	0.9416030707622437	1.0	1.0
Chromosome5	0.7150192183390977	1.0	1.0
ctg00000009.1	1.0	1.0	1.0
Chromosome7	0.8417454391504792	1.0	1.0
ctg00000011.1	1.0	1.0	1.0
Chromosome9	0.685486282860612	1.0	1.0
ctg00000013.1	1.0	1.0	1.0
ctg00000014.1	1.0	1.0	1.0
ctg00000015.1	1.0	1.0	1.0
ctg00000016.1	1.0	1.0	1.0
Chromosome14	0.6629450652039391	1.0	1.0
Chromosome15	0.49058452014427895	1.0	1.0
Chromosome16	0.6661573908024151	1.0	1.0
ctg00000022.1	1.0	1.0	1.0
Chromosome18	0.7382262517623982	1.0	1.0
Chromosome19	0.9458053140036348	1.0	1.0
ctg00000029.1___fragment_2___debris	1.0	1.0	1.0
ctg00000029.1___fragment_3	1.0	1.0	1.0
Chromosome20	0.6416575005541162	1.0	1.0
ctg00000033.1	1.0	1.0	1.0
ctg00000037.1	1.0	1.0	1.0
ctg00000042.1	1.0	1.0	1.0
ctg00000045.1	1.0	1.0	1.0
ctg00000046.1	1.0	1.0	1.0
ctg00000047.1	1.0	1.0	1.0
ctg00000048.1	1.0	1.0	1.0
ctg00000049.1	1.0	1.0	1.0
ctg00000050.1	1.0	1.0	1.0
ctg00000051.1	1.0	1.0	1.0
ctg00000052.1	1.0	1.0	1.0
ctg00000053.1	1.0	1.0	1.0
ctg00000055.1	1.0	1.0	1.0
ctg00000056.1	1.0	1.0	1.0
ctg00000057.1	1.0	1.0	1.0
ctg00000058.1	1.0	1.0	1.0
ctg00000059.1	1.0	1.0	1.0
ctg00000060.1	1.0	1.0	1.0
ctg00000061.1	1.0	1.0	1.0
ctg00000062.1	1.0	1.0	1.0
ctg00000063.1	1.0	1.0	1.0
ctg00000064.1	1.0	1.0	1.0
ctg00000066.1	1.0	1.0	1.0
ctg00000067.1	1.0	1.0	1.0
ctg00000068.1	1.0	1.0	1.0
ctg00000069.1	1.0	1.0	1.0
ctg00000070.1	1.0	1.0	1.0
ctg00000071.1	1.0	1.0	1.0
ctg00000072.1	1.0	1.0	1.0
ctg00000077.1	1.0	1.0	1.0
